raceId,driverRef,driver_overall_avg,driver_track_avg,driver_street_avg,driver_high_deg_avg
173,mazzacane,13.6,13.153846153846153,13.153846153846153,13.11111111111111
173,gene,13.866666666666667,13.923076923076923,13.923076923076923,12.88888888888889
173,ralf_schumacher,8.733333333333333,8.538461538461538,8.538461538461538,7.0
173,heidfeld,15.071428571428571,15.833333333333334,15.833333333333334,16.25
173,wurz,12.0,11.692307692307692,11.692307692307692,12.11111111111111
173,frentzen,12.466666666666667,13.615384615384615,13.615384615384615,11.555555555555555
173,alesi,16.133333333333333,16.53846153846154,16.53846153846154,16.555555555555557
173,verstappen,14.266666666666667,13.538461538461538,13.538461538461538,15.777777777777779
174,michael_schumacher,5.5625,5.142857142857143,5.142857142857143,5.7
174,coulthard,5.375,5.714285714285714,5.714285714285714,5.1
174,barrichello,6.5,7.071428571428571,7.071428571428571,7.4
174,hakkinen,4.875,4.071428571428571,4.071428571428571,4.3
174,villeneuve,9.8125,10.642857142857142,10.642857142857142,10.8
174,irvine,11.933333333333334,12.23076923076923,12.23076923076923,12.555555555555555
174,wurz,12.4375,12.214285714285714,12.214285714285714,12.8
174,salo,10.75,10.142857142857142,10.142857142857142,10.6
174,fisichella,11.3125,11.071428571428571,11.071428571428571,12.7
174,verstappen,14.75,14.142857142857142,14.142857142857142,16.4
174,alesi,16.4375,16.857142857142858,16.857142857142858,17.0
174,trulli,13.3125,13.214285714285714,13.214285714285714,13.0
174,mazzacane,13.6875,13.285714285714286,13.285714285714286,13.3
174,herbert,13.6875,13.357142857142858,13.357142857142858,13.0
174,zonta,11.5625,11.214285714285714,11.214285714285714,11.8
174,ralf_schumacher,9.25,9.142857142857142,9.142857142857142,8.0
174,gene,14.0,14.071428571428571,14.071428571428571,13.2
174,button,10.8125,10.285714285714286,10.285714285714286,7.7
174,frentzen,12.9375,14.071428571428571,14.071428571428571,12.4
174,rosa,15.75,15.642857142857142,15.642857142857142,14.3
174,heidfeld,15.266666666666667,16.0,16.0,16.444444444444443
174,diniz,12.625,13.071428571428571,13.071428571428571,14.1
141,michael_schumacher,5.294117647058823,1.0,4.866666666666666,5.2727272727272725
141,coulthard,5.176470588235294,19.0,5.466666666666667,4.818181818181818
141,barrichello,6.294117647058823,2.0,6.8,7.0
141,heidfeld,15.625,9.0,16.357142857142858,16.9
141,frentzen,13.294117647058824,14.0,14.4,13.0
141,raikkonen,10.5,10.5,10.5,10.5
141,panis,10.5,10.5,10.5,10.5
141,burti,11.0,11.0,11.0,11.0
141,alesi,16.11764705882353,16.0,16.466666666666665,16.454545454545453
141,verstappen,14.470588235294118,18.0,13.866666666666667,15.818181818181818
141,irvine,11.5625,21.0,11.785714285714286,11.9
141,alonso,10.5,10.5,10.5,10.5
